Dimension;Algorithm;Cost;Time[ms]
11;BB_BFS;215;2253.883
11;BB_BFS;215;28.565
11;BB_DFS_REC;215;15.488
11;BB_DFS_REC;215;12.692
11;BB_LC;215;1095.784
11;BB_LC;215;1034.250
12;BB_BFS;173;25987.228
12;BB_BFS;173;50.700
12;BB_DFS_REC;173;19.322
12;BB_DFS_REC;173;16.363
12;BB_LC;173;3076.914
12;BB_LC;173;2841.955
12;BB_BFS;170;27156.945
12;BB_BFS;170;156.106
12;BB_DFS_REC;170;39.593
12;BB_DFS_REC;170;32.477
12;BB_LC;170;28179.585
12;BB_LC;170;21835.922
12;BB_BFS;177;27013.859
12;BB_BFS;177;23.123
12;BB_DFS_REC;177;27.164
12;BB_DFS_REC;177;17.941
12;BB_LC;177;10235.020
12;BB_LC;177;3048.076
12;BB_BFS;161;26329.534
12;BB_BFS;161;10.852
12;BB_DFS_REC;161;19.061
12;BB_DFS_REC;161;5.815
12;BB_LC;161;5282.219
12;BB_LC;161;526.119
12;BB_BFS;254;26565.471
12;BB_BFS;254;242.816
12;BB_DFS_REC;254;149.115
12;BB_DFS_REC;254;129.549
12;BB_LC;254;348100.968
12;BB_LC;254;236370.632
8;BB_DFS_REC;219;0.472
8;BB_LC;219;3.784
8;BB_LC;219;2.016
8;BB_BFS;186;3.457
8;BB_BFS;186;0.414
8;BB_DFS_REC;186;0.215
8;BB_DFS_REC;186;0.240
8;BB_LC;186;1.200
8;BB_LC;186;1.239
9;BB_BFS;200;23.818
9;BB_BFS;200;1.597
9;BB_DFS_REC;200;1.545
9;BB_DFS_REC;200;0.837
9;BB_LC;200;6.666
9;BB_LC;200;6.012
9;BB_BFS;164;26.797
9;BB_BFS;164;0.199
9;BB_DFS_REC;164;0.168
9;BB_DFS_REC;164;0.162
9;BB_LC;164;2.762
9;BB_LC;164;0.562
9;BB_BFS;161;27.707
9;BB_BFS;161;0.755
9;BB_DFS_REC;161;0.580
9;BB_DFS_REC;161;0.263
9;BB_LC;161;2.546
9;BB_LC;161;1.536
9;BB_BFS;124;25.144
9;BB_BFS;124;1.326
9;BB_DFS_REC;124;0.472
9;BB_DFS_REC;124;0.323
9;BB_LC;124;5.369
